Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,Outlet,Current Stock,Stock Value,Item Value,Reorder Point,Reorder Amount
Harvard Premium Hood / Charcoal / XS,11119,,4 Fall 2017 Collection,Ouray,022 Apparel > Sweatshirts > Hooded,,JFK,8,178.66392,22.33299,0,0
Harvard Premium Hood / Navy / L,11112,,4 Fall 2017 Collection,Ouray,022 Apparel > Sweatshirts > Hooded,,JFK,4,89.31812,22.32953,0,0
Harvard Premium Hood / Navy / M,11111,,4 Fall 2017 Collection,Ouray,022 Apparel > Sweatshirts > Hooded,,JFK,0,0,22.33299,0,0
Harvard Premium Hood / Navy / S,11110,,4 Fall 2017 Collection,Ouray,022 Apparel > Sweatshirts > Hooded,,JFK,0,0,22.33299,0,0
Harvard Premium Hood / Navy / XL,11113,,4 Fall 2017 Collection,Ouray,022 Apparel > Sweatshirts > Hooded,,JFK,0,0,22.32301,0,0
Harvard Premium Hood / Navy / XS,11109,,4 Fall 2017 Collection,Ouray,022 Apparel > Sweatshirts > Hooded,,JFK,2,44.61942,22.30971,0,0
Harvard Premium Hood / Oxford / L,11117,,4 Fall 2017 Collection,Ouray,022 Apparel > Sweatshirts > Hooded,,JFK,2,44.0027,22.00135,0,0
Harvard Premium Hood / Oxford / M,11116,,4 Fall 2017 Collection,Ouray,022 Apparel > Sweatshirts > Hooded,,JFK,0,0,22.1714,0,0
Harvard Premium Hood / Oxford / S,11115,,4 Fall 2017 Collection,Ouray,022 Apparel > Sweatshirts > Hooded,,JFK,0,0,22.028,0,0
Harvard Premium Hood / Oxford / XL,11118,,4 Fall 2017 Collection,Ouray,022 Apparel > Sweatshirts > Hooded,,JFK,2,43.86246,21.93123,0,0
Harvard Premium Hood / Oxford / XS,11114,,4 Fall 2017 Collection,Ouray,022 Apparel > Sweatshirts > Hooded,,JFK,2,43.4993,21.74965,0,0
Harvard Premium Keychain / Athletic H,10272,,Clearance,"GloDesign, Inc.",110 Accessories > Keychains,,JFK,0,0,5.38,4,4
Harvard Premium Keychain / Crest gold,10380,,Clearance,"GloDesign, Inc.",110 Accessories > Keychains,,JFK,0,0,4.03,4,4
Harvard Premium Keychain / Crest red,10379,,Clearance,"GloDesign, Inc.",110 Accessories > Keychains,,JFK,0,0,5.38,4,4
Harvard Premium Keychain / HBS,10381,,Clearance,"GloDesign, Inc.",110 Accessories > Keychains,,JFK,0,0,4.56667,4,4
Harvard Premium Keychain / HLS,10382,,Clearance,"GloDesign, Inc.",110 Accessories > Keychains,,JFK,0,0,5.23,4,4
Harvard Premium Quarter Zip / Crimson / L,11132,,4 Fall 2017 Collection,Ouray,023 Apparel > Sweatshirts > Zip,,JFK,2,35.47274,17.73637,0,0
Harvard Premium Quarter Zip / Crimson / M,11131,,4 Fall 2017 Collection,Ouray,023 Apparel > Sweatshirts > Zip,,JFK,2,35.60218,17.80109,0,0
Harvard Premium Quarter Zip / Crimson / S,11130,,4 Fall 2017 Collection,Ouray,023 Apparel > Sweatshirts > Zip,,JFK,1,17.80109,17.80109,0,0
Harvard Premium Quarter Zip / Crimson / XL,11133,,4 Fall 2017 Collection,Ouray,023 Apparel > Sweatshirts > Zip,,JFK,2,35.60218,17.80109,0,0
