id,handle,sku,name,variant_option_one_name,variant_option_one_value,variant_option_two_name,variant_option_two_value,variant_option_three_name,variant_option_three_value,supplier_name,active
b8ca3a65-013d-11e4-fbb5-4f280e2f6140,HarvardHZipHoodie,10370,Harvard H Zip Hoodie,Size,Small,,,,,Palomar Printing,0
b8ca3a65-013d-11e4-fbb5-4f2817c0b84c,HarvardHZipHoodie,10371,Harvard H Zip Hoodie,Size,Medium,,,,,Palomar Printing,0
b8ca3a65-013d-11e4-fbb5-4f281ef17c5f,HarvardHZipHoodie,10373,Harvard H Zip Hoodie,Size,X-Large,,,,,Palomar Printing,0
b8ca3a65-013d-11e4-fbb5-5a22cd1bfabb,6,6,USPS Media Mail Parcel,,,,,,,Freight,1
b8ca3a65-013d-11e4-fbb5-6ea1f1c29355,PleasepickthisforChairOrders,PleasepickthisforChairOrders,Please pick this for Chair Orders,,,,,,,Freight,1
b8ca3a65-013d-11e4-fbb5-7b4028458ad3,SouvenirWristband,10374,Souvenir Wristband,,,,,,,"GloDesign, Inc. ",0
b8ca3a65-013d-11e4-fbb5-7b40376799fd,SouvenirWristband,10375,Souvenir Wristband,Style,Crest red,,,,,"GloDesign, Inc.",0
b8ca3a65-013d-11e4-fbb5-7f5b7a8b368a,SouvenirWristband,10389,Souvenir Wristband,Style,Crest gold,,,,,"GloDesign, Inc.",0
b8ca3a65-013d-11e4-fbb5-7f5b7d877f52,SouvenirWristband,10390,Souvenir Wristband,Style,Athletic H,,,,,"GloDesign, Inc.",0
b8ca3a65-013d-11e4-fbb5-7f5b808597bd,SouvenirWristband,10391,Souvenir Wristband,Style,HBS,,,,,"GloDesign, Inc.",0
b8ca3a65-013d-11e4-fbb5-7f5b8cc4b4c9,SouvenirWristband,10393,Souvenir Wristband,Style,HLS,,,,,"GloDesign, Inc.",0
b8ca3a65-013d-11e4-fbb5-7f5b14ba9f66,CarDecal,10385,Harvard Car Decal,Style,Crest,,,,,"GloDesign, Inc.",0
b8ca3a65-013d-11e4-fbb5-7f5b20e3649f,CarDecal,10388,Harvard Car Decal,Style,HLS,,,,,"GloDesign, Inc.",0
b8ca3a65-013d-11e4-fbb5-847fed7644d8,LifeinCrimson,10407,Life in Crimson,,,,,,,HSA Publications,1
b8ca3a65-013d-11e4-fbb5-ae2306c86d48,HarvardAlumniatStadiumVintagePhoto,10408,Harvard Alumni at Stadium Vintage Photo,,,,,,,ICONCEPT,0
b8ca3a65-013d-11e4-fbb5-ae23217211c6,ViewofHarvardStadiumVintagePhoto,10409,View of Harvard Stadium Vintage Photo,,,,,,,ICONCEPT,0
b8ca3a65-013d-11e4-fbb5-ae2337ee1eea,ProtestAgainstVietnamWarVintagePhoto,10410,Protest Against Vietnam War Vintage Photo,,,,,,,ICONCEPT,0
b8ca3a65-013d-11e4-fbb5-ae234ed948fa,HarvardBandonOpeningDayVintagePhoto,10411,Harvard Band on Opening Day Vintage Photo,,,,,,,ICONCEPT,0
b8ca3a65-013d-11e4-fbb5-ae2374eaf642,JohnHarvardStatue1924VintagePhoto,10412,John Harvard Statue (1924) Vintage Photo,,,,,,,ICONCEPT,0
b8ca3a65-013d-11e4-fbb5-ae239753f9a8,ActionDuringHarvard-YaleGameVintagePhoto,10413,Action During Harvard-Yale Game Vintage Photo,,,,,,,ICONCEPT,1
b8ca3a6d-ea3d-11e4-ee41-23d9e370ebb5,2015HarvardDeskCalendar,10349,2015 Harvard Desk Calendar,,,,,,,Mahoney Publishing,0
bc305bf6-613d-11e4-f15a-166b9ace3b59,VintageCrewT-Shirt,10344,Vintage Crew T-Shirt,Color,Oxford,Size,S,,,Quality,1
bc305bf6-613d-11e4-f15a-166ba100be39,VintageCrewT-Shirt,10345,Vintage Crew T-Shirt,Color,Oxford,Size,M,,,Quality,1
bc305bf6-613d-11e4-f15a-166ba2d7c30a,VintageCrewT-Shirt,10346,Vintage Crew T-Shirt,Color,Oxford,Size,L,,,Quality,1
bc305bf6-613d-11e4-f15a-166ba53e094c,VintageCrewT-Shirt,10347,Vintage Crew T-Shirt,Color,Oxford,Size,XL,,,Quality,1
bc305bf6-613d-11e4-f15a-173f45235555,WineBottleKeychain,10348,Wine Bottle Keychain,Color,Crimson,,,,,Pin Badge Maker Company,1
bc4481c3-108e-4c51-3847-a0bd74bba7cb,harvardhockeyhood,11663,Harvard Hockey Hood,Size,XS,,,,,Bay State Apparel,1
166d9631-e2ef-65ed-bc80-983faa8e02b7,harvardhockeyhood,11664,Harvard Hockey Hood,Size,S,,,,,Bay State Apparel,1
5298bad0-4da2-bcf7-eca0-c09474ea1d2d,harvardhockeyhood,11667,Harvard Hockey Hood,Size,XL,,,,,Bay State Apparel,1
68b1bb81-f128-1d39-547f-34d1d4b1ee66,harvardhockeyhood,11665,Harvard Hockey Hood,Size,M,,,,,Bay State Apparel,1
9c0cb758-db3e-30fd-913b-3a83c0f04cc3,harvardhockeyhood,11666,Harvard Hockey Hood,Size,L,,,,,Bay State Apparel,1
be1bf9cd-801b-0f69-f2a8-ade9d1b43888,HarvardToddlerBabySweatpants,11331,Harvard Toddler Sweatpants,Size,0-3M,Color,Crimson,,,Creative Knitwear,1
24cb9e51-d775-f7a8-4506-80c9e4fa511a,HarvardToddlerBabySweatpants,11334,Harvard Toddler Sweatpants,Size,12M,Color,Crimson,,,Creative Knitwear,1
62c94b80-1239-25fd-eb40-e46eb068fd23,HarvardToddlerBabySweatpants,11338,Harvard Toddler Sweatpants,Size,3T,Color,Crimson,,,Creative Knitwear,1
